                                varietal                                | count 
 Tokaji                                                                 |     1
 St Pepin                                                               |     1
 Zibibbo (Moscato d'Alessandria)                                        |     1
 Optima                                                                 |     4
 Corot Noir                                                             |     5
 Trebbiano di Lugana                                                    |     2
 Palomino                                                               |     7
 Nero d'Avola                                                           |    74
 Niagra                                                                 |     1
 Norton Cynthiana                                                       |     2
 Espder                                                                 |     1
 Saint Croix                                                            |     3
 Pinot Noir and Chardonnay                                              |     1
 Moscato Bianco                                                         |     8
 Chardonnay Marsanne Roussanne                                          |     1
 La Crescent blend                                                      |     1
 Melon de Bourgogne                                                     |     1
 Piedirosso                                                             |     7
 Pinot gris                                                             |     2
 Cghbvf                                                                 |     1
 Prosecco (Glera)                                                       |     4
 Biancame                                                               |     1
 White blend                                                            |    66
 Souzao                                                                 |     4
 Sylvaner                                                               |    10
 Cabernet  Franc                                                        |     1
 Gewurztraminer Sauvignon Blanc                                         |     1
 Unknown                                                                |     1
 Baco Noir Reserve                                                      |     1
 Napoleon                                                               |     1
 Baga                                                                   |     2
 Montepulciano                                                          |   193
 Sangiovese Cabernet Sauvignon  Merlot                                  |     1
 Romorantin                                                             |     1
 White Concord                                                          |     1
 Chardinnay                                                             |     1
 Baco Gamay                                                             |     1
 Merlot Cabernet Sauvignon Syrah Zinfandel                              |     1
 Zweigelt. Merlot                                                       |     1
 Marzemino                                                              |     7
 Cynthiana/Norton                                                       |     1
 Marquette Shiraz                                                       |     1
 Sangiovese                                                             |   844
 Nebbiolo blend                                                         |     1
 Ortega                                                                 |    38
 Black Pallagrello                                                      |     1
 Ansonica                                                               |     2
 Antao Vaz                                                              |     1
 Catawba                                                                |   178
 Cuvee Blanc                                                            |     1
 Tocai Friulano                                                         |    10
 White Pallagrello                                                      |     1
 Red Moscato                                                            |     2
 Rosato                                                                 |     1
 Refosco dal Peduncolo                                                  |    16
 dolcetto                                                               |     1
 Bonarda                                                                |    14
 Grenache Cabernet Sauvignon Shiraz Pinot Noir                          |     1
 Trousseau                                                              |     1
 Chenin                                                                 |     2
 Frontenac Noir and Frontenac Gris                                      |     1
 Nuragus                                                                |     4
 Riesling Tollinger                                                     |     1
 Southern Rhone Blend                                                   |     2
 Viosinho                                                               |     1
 Black Bombino                                                          |     1
 Leon Millot                                                            |    20
 Blanc Du Bois                                                          |    29
 Chardonnay                                                             |  4145
 Assemblage Rouge                                                       |     1
 Verdelet                                                               |     1
 Chardonnay blend                                                       |     2
 Doreen                                                                 |     2
 Merlot Syrah Cabernet Franc                                            |     1
 Cabernet Sauvignon Merlot                                              |     5
 Inzolia                                                                |     7
 Auxerrios                                                              |     1
 Raboso Veronese                                                        |     1
 Petite Amie                                                            |     2
 Grüner Veltliner                                                       |     5
 Barbaresco                                                             |     2
 Cabernet                                                               |    18
 Pignoletto                                                             |     6
 Tocai                                                                  |     2
 Tinta Amarela                                                          |     1
 Sauvignon Blanc                                                        |  1400
 Blackberry                                                             |     2
 Ederena                                                                |     1
 Rivaner                                                                |     1
 Nero d'Avola blend                                                     |     1
 torrontes                                                              |     1
 Siegfried blend                                                        |     1
 Sauvignon Blanc Viognier                                               |     1
 Madeleine Sylvaner                                                     |     1
 Muscat sec                                                             |     1
 Ravat Vignoles                                                         |     1
 vermentino                                                             |     1
 White Malvasia                                                         |     2
 Alcamo                                                                 |     1
 Schioppettino                                                          |     4
 Pinot Bianco                                                           |    15
 Bergamais                                                              |     1
 Seyval Noir                                                            |     3
 Nero d' Avola blend                                                    |     2
 Nero D'Avola                                                           |    13
 Tocai Fruilano                                                         |     2
 Grechetto                                                              |     9
 Rosso                                                                  |     1
 Oraniensteiner                                                         |     2
 Aragones                                                               |     2
 Dornfelder                                                             |    12
 Tibouren                                                               |     1
 Nebbiolo (Lampia)                                                      |     1
 Rieslng                                                                |     1
 Coda Di Volpe                                                          |     1
 Semillion                                                              |     3
 Babera                                                                 |     1
 Albariño                                                               |     3
 Muscat of Alexandria                                                   |     1
 Blueberry                                                              |     1
 Rooibos                                                                |     1
 Albana                                                                 |     9
 Pais                                                                   |     1
 Johannisburg Riesling                                                  |     1
 Montepulciano D'Abruzzo                                                |     2
 Verdicchio dei Castelli de Jesi                                        |     1
 Shiraz cabernet                                                        |     1
 Petit Manseng                                                          |    30
 Madeleine Angevine                                                     |    38
 Nescetta                                                               |     1
 Touriga Nacional                                                       |    29
 Kerner                                                                 |    18
 Pinot Noir Cuvee                                                       |     2
 Blanc Du Bosque                                                        |     1
 Syrah Cabernet Sauvignon Petit Verdot                                  |     1
 Chardonnay Pinot Noir pinot meunier                                    |     1
 French Columbard                                                       |     2
 Chambourcin                                                            |   310
 Red Rhone Blend                                                        |     6
 Cabernet Sauvignon Merlot Syrah Zinfandel                              |     1
 Terret Noir                                                            |     1
 Bourgogne                                                              |     1
 Verduzzo Dorato                                                        |     2
 Sauvignon blanc                                                        |     5
 Lacrosse                                                               |     2
 Durella                                                                |     1
 Bobal                                                                  |     1
 Pink Moscato                                                           |     2
 Malbec Merlot                                                          |     1
 Cabernet Sauvignon Merlot Cabernet Franc                               |     2
 Habitant Blanc                                                         |     1
 Seyval                                                                 |    48
 Touriga Nacional Aragonez                                              |     1
 Roussanne                                                              |   100
 Gruner Veltiner                                                        |     1
 Syral                                                                  |     1
 Seyval Aurore                                                          |     1
 Charbono                                                               |    11
 Alfrocheiro                                                            |     1
 Carmine                                                                |     2
 Tinta del Pais                                                         |     2
 Port                                                                   |     1
 Garnacha Blanca                                                        |     1
 Blend                                                                  |    52
 Pinot noir rose                                                        |     1
 Champagne Brut                                                         |     2
 Pošip                                                                  |     1
 White Pinot Noir                                                       |     1
 Négrette                                                               |     1
 Catarratto Lucido                                                      |     1
 grenache                                                               |     1
 port                                                                   |     1
 Grecanico Inzolia Chardonnay                                           |     1
 nebbiolo                                                               |     1
 Ehrenfelser                                                            |    17
 Blackberry Mead                                                        |     1
 Syrah Zinfandel Petite Sirah                                           |     1
 Primitivo                                                              |   141
 Rhone Blend                                                            |     5
 Sousao                                                                 |     1
 Canaiolo                                                               |     3
 Crémant d'Alsace                                                       |     1
 Falanghina                                                             |    42
 Radisson                                                               |     1
 Uve Bianche                                                            |     2
 California Champagne                                                   |     1
 Pinot                                                                  |     4
 White Bombino                                                          |     3
 Ottavianello                                                           |     1
 Merlot Cabernet Franc Cabernet Sauvignon Petit Verdot                  |     1
 Malbec Corvina                                                         |     1
 Muscat Blanc                                                           |    13
 Riesling Traminer                                                      |     1
